用户名,推荐,游戏时长,评论
zlq13316146515,Recommended,30.8 hrs on record (7.5 hrs at review time),1111
kingdz,Recommended,90.0 hrs on record (74.4 hrs at review time),好玩
Tatsan,Not Recommended,36.5 hrs on record,”买了游戏就能随意评价“
帅哥111,Recommended,142.1 hrs on record (139.9 hrs at review time),没什么需要留言的，
羊腰子就馕,Recommended,76.3 hrs on record,非常不错的游戏，我很喜欢，支持国产游戏
280079280,Recommended,47.6 hrs on record (13.6 hrs at review time),难度适中，剧情丰满，配乐优秀，彩蛋精彩。
15507738898,Recommended,181.7 hrs on record (160.0 hrs at review time),非常好玩
warboss,Recommended,60.9 hrs on record (3.6 hrs at review time),挺好玩的，比魂游上手快，打BOOS很刺激
442208826,Recommended,40.6 hrs on record,需要DLC需要DLC需要DLC需要DLC需要DLC需要DLC需要DLC
9是我,Recommended,91.5 hrs on record (65.7 hrs at review time),喜欢
RealMethylGreen,Recommended,104.3 hrs on record (85.9 hrs at review time),可能有剧透： 我是手残、996上班族，此前玩过的最吃操作的3D动作游戏是旷野之息。去年8月一边兴奋一边担忧着入了手，开始的时候我完全不看攻略和剧透，只想自己摸索（大数据推送我都直接划走）。但不幸的是我这次打着打着又变成了一名仓鼠玩家，早期没有小地图，我为了探图反反复复迷过路（甚至时隔多年又晕了3D），我为了打boss拼命刷小怪，我细细地读过每件物品每件兵器披挂的描述、品味过影神图里的每篇聊斋小短文，我与所见之物都尽量进行了互动。就这样断断续续磕磕绊绊打了4、50个小时，硬是打到第四章，直到百眼魔君那里二阶段死活打过不去，万念俱灰弃游了几个月。 后来跟朋友聊天，说是百眼魔君要用绣花针，才发现我都打到第四章了法宝还只有一个避火罩，就感觉我玩的和别人玩的是两个游戏。于是我从这里开始，头一次学习了轮椅打法，头一次看了网上的攻略，回到第二章拿了定风珠（没错我在这时才明白“我来助你”的梗图是从哪来的）、回到第三章拿了禁字诀（没错我在这之前总想着用火系技能给老头暖身子）、回到第四章终于打过了晦月魔君拿到了绣花针。之后不看攻略一路还算顺利地莽到了大圣面前（因为之前刷级，后面就一路砍瓜切菜）。直到重来十几次还被大圣反复橄榄，再再一次学习了轮椅打法，成功打出BE。想起剧透还有二郎神，于是再查漏补缺（顺便发现至少漏了四只龙，不知道还漏了什么没有）。回到第三章又反复被二郎神橄榄几次，再再再一次学习了轮椅打法，最终打出GE，此时游戏时长也来到了85小时，终于，在2025年6月8日（高考第二天），我打过了一周目，成就63/81。 敲了这么多字儿我不是想吐槽游戏的地图设计和引导（毕竟现在看已经有很多人吐槽过了），我只是想把我的游玩过程跟大家分享一波。我能感受到游科成员对这个游戏的爱和投入，因为他们干了很多只有强迫症才会干的事情。 打出GE后有种五味杂陈的感觉，既有剧情给我的感动（太浪漫了），也有对自己没能一次就获得最佳的游戏体验的遗憾，也有发现自己其实只要看攻略就能节省很多时间的无奈。不管怎样，山就在那里，而我已经站在了其中一座的山顶了。 刚才突然想查一下有没有人讨论过不看攻略的可能性，还真让我找到一个帖子。我不知道我的这个评论会有多少人看到，也许在全国全世界的评论的汪洋大海中，我的这一滴小小浪花不会有人看到，不过也没有关系，传送门：https://tieba.baidu.com/p/9147429103
寥若晨星丶THs,Recommended,48.2 hrs on record (33.5 hrs at review time),很好
glj_2025,Recommended,7.7 hrs on record (7.5 hrs at review time),好玩
1352329278,Recommended,34.7 hrs on record (14.9 hrs at review time),谁能不玩下去呢？天命人
2700988052,Recommended,17.8 hrs on record (14.1 hrs at review time),国产之光
hlfAlex,Recommended,12.4 hrs on record (3.3 hrs at review time),牛逼
771537245,Recommended,248.0 hrs on record (212.4 hrs at review time),好玩
不响丸辣,Recommended,72.3 hrs on record,好玩，年轻人的第一款3A大作。我愿意给5个混铁棍+3个牛魔王套装给出最终评分
dgycduc98,Recommended,55.6 hrs on record,路在何方，国产3A的路就在脚下
黯染,Recommended,25.7 hrs on record (18.7 hrs at review time),打算打撒是的是的实打实大苏打四大四大四大四大撒大萨达是大萨达
吴亦凡,Recommended,25.9 hrs on record (20.3 hrs at review time),"神中神无需多言 拿到金箍棒后,我内心对游戏的那种激情很久没有出现了"
帅比王,Recommended,25.1 hrs on record (20.6 hrs at review time),牛
神之斯kdy,Recommended,84.3 hrs on record (71.3 hrs at review time),真的非常推荐，爽感无与伦比，没有其他类型3A那么高的难度，场景细节细致入微，也有了内部自带小地图，不担心迷路，马上还要打八折，想要尝试这种类型的人，可以先从黑猴入手，真的不吃亏
11067760,Recommended,62.4 hrs on record (37.8 hrs at review time),绝对的精品游戏，超爽，超值
linkinbird,Recommended,19.4 hrs on record (15.7 hrs at review time),艺术品
刘帅逼,Not Recommended,3.6 hrs on record,垃圾游戏
woshisha123,Recommended,25.6 hrs on record (4.7 hrs at review time),心心念的游戏，终于开玩了，刚刚搞定广智，再接再厉。
limissor,Recommended,8.5 hrs on record (8.3 hrs at review time),帅
XH,Recommended,77.9 hrs on record,牛逼
Shy,Recommended,37.9 hrs on record (30.6 hrs at review time),HAOAWAN
13656760185,Recommended,26.2 hrs on record (4.6 hrs at review time),太好玩了
总有一首歌让我想起你,Recommended,122.1 hrs on record (119.0 hrs at review time),好好好
霍霍,Recommended,49.9 hrs on record,好玩，很磨人心态，强烈推荐
EK强得可怕,Recommended,86.5 hrs on record (85.8 hrs at review time),NB
我永远喜欢花坂结衣,Recommended,16.5 hrs on record,好玩
承让,Recommended,190.3 hrs on record (186.3 hrs at review time),七十二斩加重斩₍˄·͈༝·͈˄*₎◞ ̑̑
穗,Recommended,36.9 hrs on record,名气大于实力 猴孝子太多 乱贴爱国标签 玩家群体部分唐成肛难度一般 游戏性还行 有的图有点容易绕晕
御坂美琴,Recommended,24.8 hrs on record (24.7 hrs at review time),属于中国玩家的游戏
琳琅不语,Recommended,76.9 hrs on record (76.7 hrs at review time),YYDS
3316805554,Recommended,27.3 hrs on record,神作，大神作
神初,Recommended,52.1 hrs on record (44.6 hrs at review time),好玩，没有迷宫一样的地图、死亡惩罚掉落、突然偷袭的小怪，boss也不难，太善良了，眼泪流下来了（2025.6.10：甚至保留boss阶段，转阶段还补满蓝血药，太贴心了，泪目。孩子第五章玩得很开心，基本上所有boss都一命速通了.jpg 黑猴的手段还是太多了.jpg
linxiaaa,Recommended,42.9 hrs on record (28.3 hrs at review time),好玩
911910975,Recommended,28.0 hrs on record (11.0 hrs at review time),特别好玩，国产三A大作
fengkuangxiaozi,Recommended,119.2 hrs on record (87.7 hrs at review time),好玩，值得推荐
Souseisekiです,Recommended,43.0 hrs on record (30.4 hrs at review time),村一大
1186026758,Recommended,23.1 hrs on record (11.1 hrs at review time),毋庸置疑，销量会替我说话
小王の小熊,Recommended,162.4 hrs on record,期待续作，一定要有续作哇
4ever,Recommended,66.4 hrs on record (59.8 hrs at review time),无需多言，我喜欢玩，好玩
Chaos,Recommended,59.8 hrs on record,10/10
神金,Recommended,35.1 hrs on record,好玩爱玩
Briar,Recommended,39.9 hrs on record,混沌初开石未烂，劫灰深处火重燃。 天命加身非所愿，孤征再踏旧河山。 云栈蛇盘悬日月，黄风蚀骨裂旌幡。 黑松林暗藏妖瘴，浮屠塔倾覆玉坛。 七十二变藏真性，百千妖骸证心丹。 定海针鸣惊鬼魅，藕丝履疾破重关。 铜头铁骨雷火锻，移星换斗战正酣。 画戟劈空裂玄甲，獠牙噬月血光寒。 刀山箭树从容过，业火焚身只等闲！ 莫问前路存亡劫，棒底恩仇自量攀。 神佛面覆黄金假，妖魔心藏赤子难。 六尘蔽眼嗔痴起，紧箍锁魂哭笑残。 灵根育孕源流出，打破顽空须悟空。 紫电青霜凝刃影，毫光摄魄显真颜。 八部天龙皆作障，一棒澄清万里烟。 筋斗翻云十万界，重霄踏碎凌霄砖。 残经半卷埋荒冢，谁记西行旧誓虔？ 荧屏骤雨妖魔舞，十指风雷天地翻。 石心未冷热血涌，火眼重开照忠奸。 此身非佛亦非圣，棒扫浊世泪痕干。 残阳如诉英雄殁，再问苍生何日安！
3931715332,Recommended,4.5 hrs on record (4.0 hrs at review time),非常好玩
2673644502,Recommended,37.0 hrs on record (5.8 hrs at review time),好
懒得起名字了,Recommended,119.2 hrs on record (119.2 hrs at review time),haowan
Watermelon,Recommended,26.1 hrs on record (14.9 hrs at review time),国产第一 无需解释
251013109,Recommended,205.3 hrs on record (198.7 hrs at review time),好玩
tan7,Recommended,49.3 hrs on record (49.0 hrs at review time),好
xuanfengshizi,Recommended,34.7 hrs on record (27.7 hrs at review time),very good chinese story
3125218634芷镜_,Recommended,17.4 hrs on record,好
我心长眠,Recommended,56.8 hrs on record (47.5 hrs at review time),very good
微涼,Recommended,54.3 hrs on record (32.8 hrs at review time),游戏很不错，已经三周目，西游路快走不下去了，赶紧出DLC呗
林北,Recommended,52.1 hrs on record,不如迷你世界
大菠萝吃西瓜,Recommended,49.2 hrs on record,中华文化传播载体 牛逼！
2595926758,Recommended,8.1 hrs on record (6.6 hrs at review time),先说缺点，地图设计不好（空气墙很破坏沉浸感），引导很差，不搜攻略纯坐牢，优化不太好，帧数不稳定。再说优点，画质，美术非常棒。最后一点是战斗方面，个人觉得比较简单，战斗设计不错，有一些小瑕疵，不过瑕不掩瑜。
盗号王朱文涛,Recommended,107.3 hrs on record (104.7 hrs at review time),hao
1785970906,Recommended,25.7 hrs on record,猿神！启动！
sunjiehh,Recommended,49.2 hrs on record (38.1 hrs at review time),内容很好
カカロット,Recommended,11.4 hrs on record (8.7 hrs at review time),good
汪酱,Recommended,0.1 hrs on record,好玩，爱玩，游科加油！！！
sherry0128,Recommended,21.1 hrs on record,期待后去更新内容。
339056903,Recommended,6.2 hrs on record (3.7 hrs at review time),很好
rnism,Recommended,59.2 hrs on record (13.0 hrs at review time),终于不是那种乌漆麻黑的场景了，终于是中国风的了，场景/打斗/配音/故事，都做得太棒了！
excse,Recommended,148.9 hrs on record (147.1 hrs at review time),好玩，爱玩
sunweidong919,Not Recommended,11.6 hrs on record,难度有点高，适合年轻人，本人35，想支持一下也力不从心，学习成本高，打着爽但是用时太久，不知道三年能不能打的完，游戏是好游戏，但是受众也就年轻人吧。
327643950,Recommended,219.2 hrs on record (166.1 hrs at review time),可玩性高，画面制作精良。
< blank >,Recommended,426.5 hrs on record (398.6 hrs at review time),一口气干到六周目，爱不释手，干废了两个手柄，到现在还没学会识破，是我自己的问题，在此之前完全没有玩过魂类游戏，这个应该是我最喜欢的游戏没有之一，让我抛弃了Mac平台，转头就买了pc只为了玩黑猴，游戏的完成度非常高，无论服化道还是场景设计，均超出了预期，通过400个小时的磨砺，终于舍得来评论，很多溢美之词都不足以形容本人对游戏的钟爱，最近半年来每天必须打开游戏，哪怕不玩也要开着看猴子，对，我就是这么热爱它，希望它尽快出续作和dlc。冲冲冲无需多言
球球大王,Recommended,15.8 hrs on record (12.4 hrs at review time),伟大无需多言
乔木落叶,Recommended,54.2 hrs on record (53.8 hrs at review time),好玩，确实好玩，真好玩
461719733,Recommended,44.1 hrs on record,非常好 支持
tonytyzhao,Recommended,31.7 hrs on record (30.4 hrs at review time),二周目慢下来再品味一番里面的艺术和文化
胡小胖丶哈哈,Recommended,75.2 hrs on record (37.9 hrs at review time),赞
老曼,Recommended,15.0 hrs on record (6.9 hrs at review time),NB
0584,Recommended,12.0 hrs on record (7.5 hrs at review time),手残不建议入手
光年以外,Recommended,65.5 hrs on record (37.7 hrs at review time),ok
陈生也,Recommended,9.6 hrs on record (3.5 hrs at review time),GFY
赟端,Recommended,10.3 hrs on record (10.3 hrs at review time),111
朱猪,Recommended,115.6 hrs on record (115.2 hrs at review time),快出DLC
萌新程序猿,Recommended,56.7 hrs on record (7.3 hrs at review time),好玩，爱玩，喜欢玩
暮归云曦,Recommended,10.4 hrs on record,好玩
jy00774865,Recommended,60.0 hrs on record (46.5 hrs at review time),希望早点出DLC，本体都不够玩。
氪挂神仙延迟,Recommended,75.9 hrs on record (64.1 hrs at review time),好！好！好！
precious,Recommended,19.6 hrs on record (15.0 hrs at review time),首先这个游戏非常不错 国产3A 其次马上Steam黑神话悟空马上迎来史低 有病毒大家不要买
问天11少,Recommended,247.7 hrs on record (206.5 hrs at review time),画面精美，情节经典
326490758,Recommended,44.9 hrs on record (44.3 hrs at review time),NBNBNBNBNBNBNBNBNB
雪中一只狗,Recommended,7.4 hrs on record (7.2 hrs at review time),不错
foreverjjk,Recommended,156.8 hrs on record (154.6 hrs at review time),超赞
随风v,Recommended,101.8 hrs on record (85.5 hrs at review time),好玩
Mavorlock,Recommended,32.5 hrs on record (23.0 hrs at review time),配了4070电脑，开始挨虐！！！！！！！！！！！！！！！！！！
嘎嘎乱杀,Recommended,81.0 hrs on record (80.8 hrs at review time),改变中国单机游戏市场的里程碑式作品，它的成功可以说是必然，也可以说是巧合，但绝对和游戏本身实力分不开
tangsiyuanyuan,Recommended,45.8 hrs on record,终于通关黑神话悟空了，虽然早有心理预期而且打大圣残躯也比较坎坷，但当未竟动画以及后续致谢名单出现的时候，随着歌曲逐渐进入高潮，我的心情也愈发难以按捺，最终情绪终于爆发出来以泪洗面，游戏内我终于成为了大圣，天不收来地不管，而在游戏外我也希望我能够闯过独属于自己的八十一难，正如同歌词所说的那样，“你我本是有情有义人，天地不平心不甘，试问有谁打破顽古，不堕轮回万古传”，敢问路在何方——路在脚下。
K423,Recommended,70.0 hrs on record,牛
lukeisme2013,Recommended,73.5 hrs on record (51.2 hrs at review time),太牛了
我想玩原神,Recommended,23.7 hrs on record (12.6 hrs at review time),因为是国内首款国产3a游戏也是自己小时候最爱看的动画片之一改变改编出的游戏所以必须支持 也推荐这款游戏
Luc¿fer,Recommended,70.5 hrs on record,圆我大圣梦
亦风,Recommended,51.5 hrs on record (51.3 hrs at review time),很牛，一款对我来说非常特殊的3A游戏
王老师,Recommended,86.1 hrs on record (79.5 hrs at review time),阿迪
frank,Recommended,36.0 hrs on record (35.1 hrs at review time),非常棒的游戏
吾乃Jashion,Recommended,40.8 hrs on record (40.5 hrs at review time),精美的画面，用心的剧情，值得推荐
Hoshino-ai,Recommended,148.7 hrs on record (143.5 hrs at review time),好玩
568598000,Recommended,33.9 hrs on record (33.1 hrs at review time),.....
zsj,Recommended,40.7 hrs on record (35.7 hrs at review time),好玩
Stan,Recommended,112.6 hrs on record (95.1 hrs at review time),我是大圣！
Angelica,Recommended,100.9 hrs on record,好
靳准小小男孩,Recommended,91.1 hrs on record (90.0 hrs at review time),极度推荐
qq2774623358,Recommended,74.3 hrs on record (73.0 hrs at review time),好玩推荐
爱尔兰-德克-斯蒙,Recommended,56.8 hrs on record (47.2 hrs at review time),good
清欢渡,Recommended,27.4 hrs on record (18.2 hrs at review time),棒
2777512939,Recommended,65.7 hrs on record (63.5 hrs at review time),好玩 爱玩
Devin,Recommended,50.2 hrs on record,牛掰就对了
如何,Recommended,95.5 hrs on record (94.4 hrs at review time),空气墙≠强引导，花果山的优化，boss战大多并不出彩，让我印象深刻的只有虎先锋和晦月魔君，小缺点很多。剧情虽然有些改编部分有点迷惑，但整体很好。美术风格不用多说，极致的东方美学，黑神话的画面一直都是加分项。抛去情怀来说也无疑是一款佳作。希望dlc能改掉这些缺点。还有你那六根全点满的肝度也是跟原神有得一比了，不愧是猿神。肝硬化这一块/.
爱吃汉堡的川普,Not Recommended,14.6 hrs on record (6.8 hrs at review time),不好玩
1334750867,Recommended,694.3 hrs on record (627.7 hrs at review time),好玩
AYCTTID,Recommended,65.5 hrs on record (64.9 hrs at review time),豪万
2508848061,Recommended,36.6 hrs on record (8.2 hrs at review time),剧情太酷了，打斗精彩
灰旋,Recommended,45.3 hrs on record (9.1 hrs at review time),还不错
jwei0712,Recommended,17.0 hrs on record (4.6 hrs at review time),太太太好玩了呀~
849364141,Recommended,92.8 hrs on record,好玩
zyxandcbh,Recommended,17.0 hrs on record (10.2 hrs at review time),喜欢这款中国风的游戏
灵活的胖子,Recommended,27.6 hrs on record (4.4 hrs at review time),yyds
但仍想试一试,Recommended,85.4 hrs on record,这个价值得
zhaoyynmg,Recommended,13.3 hrs on record (13.0 hrs at review time),9I9I9I
18261615322,Recommended,49.0 hrs on record (10.9 hrs at review time),无身外身法先打虎先锋两遍过，都是无避火罩硬刚黑熊精老师时教的好
崽种,Recommended,42.8 hrs on record,打不过大圣，和解了
2417947107,Recommended,58.5 hrs on record (53.5 hrs at review time),玩游戏的时间也不短，这也是头一次在Steam上做评测。这个游戏从去年买了开始到现在虽然断断续续才刚玩到第四章，不过总体上来说还是很让我满意的。也不单纯是为了小时候的大圣梦这么个情怀。况且在这游戏里这一路走来，也算是另类的体验了一把西游路，如此方能明白当年师徒四人走的这西行路是有多么的不易
Low,Recommended,1.2 hrs on record,非常好的游戏
a13557368322,Recommended,36.6 hrs on record (31.7 hrs at review time),可以的
yy^,Recommended,5.0 hrs on record,太好玩了，不开风灵月影根本打不过
Summer,Recommended,63.6 hrs on record (60.6 hrs at review time),1
人生旅客,Recommended,48.5 hrs on record (33.7 hrs at review time),这个游戏好不错
3849102815,Recommended,20.7 hrs on record (10.0 hrs at review time),好玩
南无奥特曼佗佛,Recommended,109.2 hrs on record (108.6 hrs at review time),XIHUAN
软软娇喵萌萌酱,Recommended,53.9 hrs on record,如果是其他国家的游戏，你可能只有95分，但现在你有100分。
威漫漫,Recommended,54.0 hrs on record (16.8 hrs at review time),好看不好玩的游戏，叙事‌有距离，铺设很多隐喻和留白导致云里雾里没有代入感，毕竟看过且记住原著是少数人，所以整体体验感受像是边上课边上班的PUA最重要黑神话悟空不仅仅是一款游戏，它代表很多意义，无需多言，所以我才会买豪华版支持未来的可能性很多人像是比如类似边骂却边氪金的那样子其实是为下一代攒希望的中国式家长
15013527480,Recommended,8.1 hrs on record (4.1 hrs at review time),会的
丶依韵,Recommended,124.1 hrs on record,和游科最早的渊源应该是斗战神，是我玩过的最好玩的网游，但是企鹅的司马策划导致公测就弃坑了。后来看到团队出走做自己的游戏的时候一直都在关注，18还是19第一次看到曝光时惊为天人。我本身对魂类游戏并不感冒，因为是个手残党。但是这次是必须要支持的，全程玩下来纯靠磨，到最后药剩了一大堆。每个人有每个人坎，除了二郎神外最难打的对我来说就是黑熊精了。。。然后是广智，前期广智真的差点劝退我。但是大头、白衣对我来说都还挺好过的。。。对于特效炫酷的真是打不了一点。游戏整体很棒，就是有些压抑，毕竟黑神话嘛。期待后续DLC
金丝虾球,Not Recommended,31.5 hrs on record (27.6 hrs at review time),太难了
3426456922,Recommended,53.9 hrs on record (53.7 hrs at review time),三周目才能解锁大圣模式555
7,Recommended,33.9 hrs on record (21.1 hrs at review time),h
爆爆可乐,Recommended,24.0 hrs on record (18.1 hrs at review time),HAO
倘若有神明,Recommended,39.8 hrs on record (32.9 hrs at review time),非常nice
是一只郎,Recommended,37.2 hrs on record,好玩爱玩
riscmips,Not Recommended,10.8 hrs on record (8.7 hrs at review time),机械盘HDDgpu降频率20%，所有设置全默认，全根据应用设置全低特效，整个进程卡死无响应，不能玩的卡，卡死位置不固定怀疑是什么地方资源管理有问题，之前g3220还能看完开场故事，换了i3-4330后开场动画的走不完，关闭sysmain后重启电脑现象更加明显（感觉上sysmain也会影响程序运行）
C1Y7X,Recommended,117.5 hrs on record,DLC呢我问你！！！
宝贝来撞死我,Recommended,228.2 hrs on record (207.4 hrs at review time),hyx
想成为坏女人的狗,Recommended,41.6 hrs on record (9.0 hrs at review time),非常好玩，出色的镜头调度，美丽的场景，帅气的boss战
13212021049,Recommended,83.0 hrs on record (81.3 hrs at review time),好玩
丧尸怪,Recommended,61.8 hrs on record,又体验了连战模式的三虎，动作竟然都是新的，比故事模式多了很多没见过的动作模组，看来游科还是降低了很多难度啊，没玩过的朋友可以尝试一下，其实没有那么难，实在不行刷一刷等级，毕竟天命人的性能还是比较强的，过boss的手段还是很多的。
珞澪,Not Recommended,68.4 hrs on record,没官方下来证明没签独占协议之前，你这公司在我这永远都是一个敢做不敢当，甩锅第一名的初升公司
玩个喷子怂你个蛋,Recommended,185.2 hrs on record,所以什么时候出DLC
小布什,Recommended,12.3 hrs on record (6.1 hrs at review time),很棒
httyanasuo,Recommended,188.7 hrs on record,好玩，不算很难。不太自由。希望多开发dlc暂时不要去开发别的游戏。把中国神话开放世界搞出来
707840505,Recommended,35.5 hrs on record (8.3 hrs at review time),国产首个3a游戏 玩了两天才来评论 游玩过程中真的能看出制作者的用心程度 还没通关已经期待续作了
",,Ծ‸Ծ,, Coo1",Not Recommended,11.6 hrs on record,优化真的很差，其实打击感还可以做的更好一点的，进步空间还很大，加油吧
她说本来就很黑,Recommended,142.4 hrs on record (137.8 hrs at review time),我DLC呢我问你
法尼瓦伦泰,Recommended,187.2 hrs on record (187.1 hrs at review time),伟大，无需多言
五优鸭,Recommended,184.7 hrs on record (184.3 hrs at review time),没什么好说了
糖心米娜学姐,Recommended,55.9 hrs on record,太好玩了
jiale2727,Recommended,63.0 hrs on record (54.4 hrs at review time),无有因，新游迟出何故？
3525565798,Recommended,87.3 hrs on record (83.3 hrs at review time),可以
卢比扬卡包吃住,Recommended,156.1 hrs on record,非常不错，买的标准版全成就后又买了升级包支持一下
锅里还蹲着人呢,Not Recommended,10.8 hrs on record,看着能走的不能走，心梗
怜,Recommended,19.7 hrs on record,好玩，我又想起了齐天大圣！！！
3135730038,Recommended,128.9 hrs on record (127.7 hrs at review time),操作
151724591,Recommended,38.4 hrs on record (3.7 hrs at review time),国产之光~！必须支持
Angus,Recommended,81.9 hrs on record (69.5 hrs at review time),牛逼
屑,Recommended,171.7 hrs on record (133.2 hrs at review time),1111111111111111111111111
雾影,Recommended,134.9 hrs on record (126.0 hrs at review time),好游戏
溜溜溜,Recommended,29.7 hrs on record (4.7 hrs at review time),不说了，牛逼就完了
艾尔登之土,Recommended,71.8 hrs on record,好玩！
2496046588,Recommended,48.7 hrs on record (35.0 hrs at review time),好玩
清徽,Recommended,8.2 hrs on record (5.2 hrs at review time),好玩
鹤鸭,Recommended,6.1 hrs on record (3.2 hrs at review time),Good
红哥,Recommended,62.5 hrs on record,什么都好，就是价格一直贵
wisdom boy,Recommended,56.6 hrs on record (30.4 hrs at review time),最值的一款游戏
3575889609,Recommended,97.2 hrs on record (64.2 hrs at review time),good
云岑林,Recommended,72.9 hrs on record,真正的国产3A
亻呈,Recommended,78.8 hrs on record,好
qwer1233_1020,Recommended,177.0 hrs on record,国产之光！！！
2994581883,Recommended,0.5 hrs on record,可以
达不刘,Recommended,30.5 hrs on record (30.5 hrs at review time),优点就不说了 国产真正意义上的3A 具有里程碑的意义通关一次后就没什么在玩下去的欲望多少还是欠缺一些底蕴 美术和音乐包括剧情感觉都没毛病 游戏主要是依赖闪避闪避不够丝滑必须等攻击结束才能闪这都没什么闪避之后不能马上走还得呆愣一会视角锁定感觉也比较怪 说不出来的怪整个地图看是缺乏指引 实际一条路走到头 空气墙太多
"NTM,",Recommended,8.3 hrs on record (3.3 hrs at review time),我太开心了
点一下就够了,Recommended,39.8 hrs on record,"支持,速出dlc"
黑马喽,Recommended,282.5 hrs on record (260.6 hrs at review time),好玩，不解释，每个中国人心里都住着一个齐天大圣
13500713755,Recommended,160.4 hrs on record (152.0 hrs at review time),非常好玩
故事与你,Recommended,57.1 hrs on record (35.5 hrs at review time),好
__AE,Recommended,39.2 hrs on record (38.7 hrs at review time),“08.20，和广智去小西天，世界上最暖和的地方在浮屠塔的顶上。”“08.21，和广智去盘丝洞，有人在那里举办婚礼。”“08.22，和广智去火焰山，璧水洞很可怕，但是有广智在，所以不可怕。”“广智最好了。”
zhangxianpeng63,Recommended,107.7 hrs on record,虽然有瑕疵，但瑕不掩瑜，我还是非常推荐的
莫愁勿言,Recommended,42.7 hrs on record (19.2 hrs at review time),《黑神话：悟空》绝对是一款现象级的国产游戏，它的出现，让世界看到了中国游戏产业的无限潜力。 从画面表现来看，《黑神话：悟空》基于虚幻5引擎打造，其画质堪称一绝。游戏内的每一帧都能当作壁纸使用，场景中的一花一草、一砖一瓦都刻画得极为细腻。不管是神秘幽深的黑风山，还是恢宏庄严的小西天，都能给玩家带来强烈的视觉冲击，搭配上精心制作的光影效果，使得整个神话世界更加逼真生动，仿佛真的将玩家带入了那个奇幻的西游世界 。 再说到战斗系统，《黑神话：悟空》有着极高的创新性和丰富度。玩家可以使用多种棍法，轻攻击、重攻击、派生攻击等灵活组合，打出流畅又极具威力的连招。战斗时，金箍棒击打在敌人身上的反馈感十足，配合上节奏感强烈的音效，打击感拉满。除了棍法，游戏中还有五光十色又相生相克的法术、变化与法宝系统。比如定身术、变身术等，让玩家的战斗手段更加多样，战斗过程充满了策略性和趣味性，真正实现了与孙悟空七十二变相呼应 。 游戏的文化内涵也相当深厚。它以中国古典名著《西游记》为蓝本，对其中的故事、角色、场景等进行了深度挖掘和再创作。游戏里高度复刻了独乐寺观音阁、大足石刻千手观音等众多中国文化遗产，还在游戏菜单中为每个击败的妖魔都配有模仿古代话本小说形式的判词、故事和绣像等。这不仅让国内玩家倍感亲切，产生强烈的文化共鸣，也为中国传统文化在全球的传播搭建了一座新的桥梁 。 《黑神话：悟空》在商业上也取得了巨大成功。2024年8月20日上线后，迅速在全球范围内掀起热潮，在Steam平台上的同时在线玩家数一度达到240万，成为该平台历史上同时在线玩家数排名第二的游戏。截至当年8月23日21点整，全平台销量超过1000万套，全平台最高同时在线人数达300万人。在2024年国产游戏销量榜中，它更是以90亿销售额创下中国买断制游戏历史第一。而且，它收获了无数奖项，如2024金摇杆奖终极年度游戏和最佳视觉设计奖 、TGA 2024最佳动作游戏奖和玩家之声奖等，还入选《时代》杂志2024年十大最佳游戏榜单 ，并斩获Steam平台2024年度最佳游戏奖，这些成绩和荣誉足以证明它的优秀 。
蜀北枭雄.,Recommended,106.5 hrs on record (101.5 hrs at review time),好玩
66666,Recommended,61.3 hrs on record (60.5 hrs at review time),好玩爱玩多玩
617394984,Recommended,79.0 hrs on record (78.3 hrs at review time),圆了儿时的想象
兮可修,Recommended,100.5 hrs on record (66.4 hrs at review time),666666666
shiyuxiang_2024,Not Recommended,6.6 hrs on record (6.2 hrs at review time),屎
欢愉 啊哈,Recommended,53.2 hrs on record (27.5 hrs at review time),大圣残躯爽
199320505,Recommended,65.8 hrs on record (4.5 hrs at review time),中国故事体会更深
XIAOYOUZI,Recommended,14.0 hrs on record (7.5 hrs at review time),不如三国杀
